x,y,z,rgba,ppmm,intensity,distance,anemometer,anemometer_dir,local_wind,local_wind_dir,drone_x,drone_y,drone_z
80.55444033138552,-28.174698529051252,0.2187062986668397,4286419830,0.0,12.0,14.779999732971191,1.7670000195503237,90.9000015258789,1.5245085954666138,108.59632110595705,68.58273970178561,-25.854239626787603,10.03036117553711
80.25431488431998,-28.22860767407069,0.4003120848779939,4286485625,0.0,12.0,14.920000076293944,1.7860000252723691,92.5999984741211,1.559162974357605,107.79283905029295,68.58432318456471,-25.84929169062525,10.030567169189451
80.28302850080249,-28.24370285948548,0.3785674354035606,4286550134,0.0,12.0,14.90999984741211,1.8020000219345091,92.5999984741211,1.627684473991394,106.87078857421876,68.58432318456471,-25.84929169062525,10.030567169189451
80.28302850080249,-28.24370285948548,0.3785674354035606,4286418550,0.0,12.0,14.93000030517578,1.8180000185966487,94.9000015258789,1.6637897491455078,105.60320281982422,68.58432318456471,-25.84929169062525,10.030567169189451
80.3560697228942,-28.392213461625403,0.2860766803029388,4286418548,0.0,12.0,14.9399995803833,1.828000020980835,94.9000015258789,1.6637897491455078,105.60320281982422,68.58331153338077,-25.8441597931087,10.03134536743164
80.56831949692811,-28.208478142450183,-0.0147080556137098,4289310119,0.0,10.0,14.869999885559082,2.1700000762939453,88.30000305175781,2.4299278259277344,160.5172119140625,68.61000433447771,-25.79268728941679,10.033870697021484
80.22925305224408,-27.92275513465289,0.2808322874943467,4289178792,0.0,10.0,14.710000038146973,2.168000078201294,88.30000305175781,2.7299842834472656,157.8507080078125,68.61498394160299,-25.78343961481005,10.038448333740234
80.22918044463863,-27.920826619894527,0.2825138610417284,4288981407,0.0,10.0,14.710000038146973,2.1660000801086428,88.30000305175781,2.745028018951416,152.57542419433594,68.61498394160299,-25.78343961481005,10.038448333740234
80.38213933848422,-27.91827551698956,0.1710257461687465,4288784027,0.0,10.0,14.989999771118164,2.164000082015991,87.4000015258789,2.393282175064087,141.18470764160156,68.61002884880872,-25.784326277673244,10.035541534423828
78.96810160110344,-30.346871917488148,-0.5842600608331381,4285954915,0.0,10.0,14.949999809265137,1.5019999980926513,71.0,2.177420854568481,101.49668884277344,68.5600138118607,-25.85901006590575,10.020763397216797
78.96810160110344,-30.346871917488148,-0.5842600608331381,4285692513,0.0,10.0,14.869999885559082,1.4910000085830688,71.0,2.362011194229126,102.66424560546876,68.5600138118607,-25.85901006590575,10.020763397216797
78.85281682071722,-30.195775252573064,-0.5211406570107489,4285824357,0.0,10.0,14.800000190734863,1.4830000162124637,67.69999694824219,2.3841865062713623,103.87611389160156,68.55844011402223,-25.858803465031087,10.02767562866211
78.83166521402899,-30.15056100001844,-0.5043778593322212,4285956715,0.0,10.0,14.739999771118164,1.478000020980835,67.69999694824219,2.289586067199707,101.4234390258789,68.55844011402223,-25.858803465031087,10.02767562866211
78.83166521402899,-30.15056100001844,-0.5043778593322212,4286480746,0.0,10.0,14.68000030517578,1.4730000257492066,65.5,2.1183435916900635,93.28546142578124,68.55844011402223,-25.858803465031087,10.02767562866211
78.67484372557169,-30.058496933067037,-0.4971980421525543,4286217573,0.0,10.0,14.56999969482422,1.475000023841858,65.5,2.1183435916900635,93.28546142578124,68.55684253870277,-25.860211045481265,10.02614974975586
78.67484372557169,-30.058496933067037,-0.4971980421525543,4286218087,0.0,10.0,14.59000015258789,1.4770000219345092,61.59999847412109,2.051285982131958,86.5013198852539,68.55684253870277,-25.860211045481265,10.02614974975586
78.5632884770958,-29.936325075473714,-0.5104272238196383,4286020710,0.0,10.0,14.550000190734863,1.479000020027161,61.59999847412109,2.0793416500091557,83.50910186767578,68.55471841542749,-25.86229290626943,10.032825469970703
78.5632884770958,-29.936325075473714,-0.5104272238196383,4286086244,0.0,10.0,14.56999969482422,1.484000015258789,61.59999847412109,2.1024587154388428,83.79188537597656,68.55471841542749,-25.86229290626943,10.032825469970703
78.5632884770958,-29.936325075473714,-0.5104272238196383,4285954659,0.0,10.0,14.600000381469728,1.4890000104904175,58.79999923706055,1.9916638135910036,87.2905044555664,68.55471841542749,-25.86229290626943,10.032825469970703
78.64842153381645,-29.82410327455215,-0.5151012644621229,4285823075,0.0,10.0,14.609999656677246,1.494000005722046,58.79999923706055,1.9916638135910036,87.2905044555664,68.5538502263953,-25.864031333476305,10.030582427978516
78.64842153381645,-29.82410327455215,-0.5151012644621229,4285757539,0.0,10.0,14.59000015258789,1.4990000009536744,60.29999923706055,1.7316789627075195,90.25717163085938,68.5538502263953,-25.864031333476305,10.030582427978516
78.70046193705736,-29.6871723249354,-0.4861127249754684,4285560163,0.0,10.0,14.579999923706056,1.5009999990463256,60.29999923706055,1.4172039031982422,86.05646514892578,68.55734235752607,-25.86316526029259,10.034420013427734
78.70046193705736,-29.6871723249354,-0.4861127249754684,4285691492,0.0,10.0,14.550000190734863,1.5019999980926513,60.29999923706055,1.3150432109832764,79.14844512939453,68.55734235752607,-25.86316526029259,10.034420013427734
78.70046193705736,-29.6871723249354,-0.4861127249754684,4285691492,0.0,10.0,14.5600004196167,1.5029999971389771,61.59999847412109,1.3150432109832764,79.14844512939453,68.55734235752607,-25.86316526029259,10.034420013427734
78.66365205628736,-29.625868474994405,-0.5344099197452561,4285823847,0.0,10.0,14.5600004196167,1.4970000028610229,61.59999847412109,1.5238856077194214,74.51195526123047,68.56093765387777,-25.86463321745396,10.025310516357422
